iteration,time_sampling,stoc_pol_mean,stoc_pol_std,stoc_pol_max,stoc_pol_min,rollout_success,alpha,delta,time_vpg,time_npg,kl_dist,surr_improvement,running_score,rwd_sparse,rwd_dense,success_percentage,num_samples,time_VF,VF_error_before,VF_error_after,env_samples,eval_score,eval_success
43,5.637484073638916,-29.024831422946384,11.24171020437582,0.4981924293600061,-47.33090575920255,0.0,0.149525522753748,0.01,0.004998922348022461,0.0925135612487793,0.0052328245,0.07266773,-32.82636505840526,-0.1201004284728457,-0.290424136583594,0.0,2470,0.35055088996887207,0.08867609088380105,0.08492753034766261,110989,-23.079794478624564,0.0
44,7.046394109725952,-29.52180642524784,11.185097322944726,0.5440229432531795,-50.98133260607756,0.0,0.155966625848477,0.01,0.004737138748168945,0.09670734405517578,0.0050609554,0.066121995,-32.49590919508952,-0.12066956785532904,-0.2953564187290948,0.0,2489,0.35257959365844727,0.09492319929535879,0.09070980762911504,113478,-22.675483176387793,0.0
45,6.107498407363892,-29.57563583473447,10.916989650930507,-0.3582426790628349,-47.31357619488858,0.0,0.16812488040519122,0.01,0.0040013790130615234,0.0905144214630127,0.0050406265,0.061467133,-32.203881859054015,-0.1192224234099426,-0.29597123366279454,0.0,2529,0.35305047035217285,0.09464907319743386,0.09071270279817246,116007,-22.676342801709897,0.0
46,5.637199878692627,-27.586195568278942,11.900279141933371,0.7248072959736616,-50.60749203743016,0.0,0.15974182496213182,0.01,0.004000425338745117,0.0925147533416748,0.0051465514,0.06674497,-31.74211322997651,-0.11586363945908262,-0.27605332668810245,0.0,2475,0.3497340679168701,0.12004258073417585,0.11369698944204262,118482,-22.492279360889484,0.0
47,5.677577018737793,-28.023416058584758,11.458111316990841,0.7571562472895046,-45.07015667554484,0.0,0.16101590536522337,0.01,0.003999471664428711,0.09340429306030273,0.005113609,0.0651748,-31.370243512837337,-0.11583325249383578,-0.28045180007105935,0.0,2489,0.35633277893066406,0.0961529938775489,0.09058562426716182,120971,-21.731314397909685,0.0
48,5.760796070098877,-27.73039860916986,10.689162928309134,0.45333883488989335,-47.261100051153356,0.0,0.15891332023161833,0.01,0.004503965377807617,0.09352350234985352,0.0050667,0.06528653,-31.006259022470587,-0.11468778676250732,-0.2775095349338881,0.0,2509,0.34975481033325195,0.09728875316250424,0.09340208399884573,123480,-21.458723932959145,0.0
49,5.587306499481201,-28.012108518957767,11.581535423483587,0.6278654251571584,-49.303166415921936,0.0,0.15906721148630104,0.01,0.005000591278076172,0.09351706504821777,0.005098404,0.066797785,-30.70684397211931,-0.11686972141159886,-0.2802962536439539,0.0,2462,0.33907508850097656,0.0994554747207327,0.09444847418804442,125942,-21.183503350881445,0.0
50,5.5764994621276855,-27.406016201868557,11.56466822654053,0.5696243049212163,-46.841518028419515,0.0,0.15781329833050503,0.01,0.004500627517700195,0.08500957489013672,0.005229083,0.06754711,-30.376761195094232,-0.11484667433942368,-0.27425590420587953,0.0,2452,0.3345980644226074,0.10107252500709893,0.09613859894916396,128394,-20.597235052279025,0.0
51,5.719875812530518,-26.246836984267183,11.20790347789754,0.62758799145364,-42.746455325436294,0.0,0.16330835601815116,0.01,0.005001068115234375,0.08951449394226074,0.0051493105,0.0652741,-29.963768774011527,-0.11069567329973835,-0.2626481651879983,0.0,2478,0.3513517379760742,0.09306003517615012,0.08718574643878647,130872,-20.31507042274689,0.0
52,5.538522958755493,-25.683544856992096,12.176210574719663,0.7576061934806027,-44.279540332554625,0.0,0.1670891462623373,0.01,0.003999948501586914,0.12676644325256348,0.0051490446,0.06329775,-29.535746382309586,-0.11166482818092312,-0.25714106289532446,0.0,2435,0.36092495918273926,0.1312058179285796,0.12556147668896242,133307,-18.79591766059081,0.0
53,5.6650230884552,-25.978252713419767,12.078052749252382,0.6623225236225585,-45.88432610827618,0.0,0.16709721033181812,0.01,0.005002737045288086,0.10752534866333008,0.0050374707,0.062292404,-29.179997015420604,-0.11175256301803475,-0.25999913475316794,0.0,2425,0.3337209224700928,0.1263068086308573,0.12087370162835263,135732,-19.09649985191829,0.0
54,5.603031158447266,-26.20758831920971,11.688096342744656,-0.5637380525280697,-48.218169873179306,0.0,0.16211350262590413,0.01,0.004998445510864258,0.08851504325866699,0.0051150615,0.06420888,-28.882756145799515,-0.11165073605121453,-0.262291254149197,0.0,2469,0.35753798484802246,0.1328895898491082,0.12659294117609768,138201,-18.483973076627333,0.0
55,5.577113628387451,-25.920431425564022,11.442650764904872,0.5818165008402336,-43.03294012883628,0.0,0.16377196360598814,0.01,0.003998994827270508,0.09151458740234375,0.0050264564,0.06386775,-28.586523673775968,-0.10902793299839626,-0.25952612094954325,0.0,2441,0.3376271724700928,0.12676828101626264,0.1208421427736753,140642,-17.975503402835265,0.0
56,5.68596339225769,-25.00174745689297,11.581092378427575,0.15016140731138372,-42.99884689326417,0.0,0.17178064218977612,0.01,0.004001617431640625,0.09248495101928711,0.00508951,0.06003145,-28.228046052087667,-0.10712247963720745,-0.2502263980161978,0.0,2484,0.34514284133911133,0.12950255407858172,0.12083847420916097,143126,-18.168146935456427,0.0
57,5.5396270751953125,-24.84398794832216,11.953333690853954,0.8318203317623184,-44.58607882030337,0.0,0.16044244740033403,0.01,0.005000114440917969,0.08751320838928223,0.0050972276,0.06439913,-27.889640241711117,-0.10684016387623618,-0.24861592395676038,0.0,2441,0.35747528076171875,0.13172530464147275,0.12512450093418878,145567,-17.461892677313813,0.0
58,5.615313768386841,-24.55901618161691,11.834893173294432,0.588161390438776,-44.229897973654104,0.0,0.17113560718550055,0.01,0.004523515701293945,0.09130263328552246,0.005165583,0.060374,-27.556577835701695,-0.10740692684970685,-0.24579597289539107,0.0,2448,0.3424038887023926,0.1387745421606384,0.1329540823200193,148015,-17.02950289307443,0.0
59,5.560835361480713,-23.68315485422168,12.094799924901613,0.7369600717258221,-50.1172864801644,0.0,0.1553881519317951,0.01,0.004000186920166016,0.09351539611816406,0.0050548203,0.067720585,-27.169235537553696,-0.10646700244975174,-0.2370362484634679,0.0,2408,0.348630428314209,0.1421604616325336,0.1359871210410161,150423,-16.461154955895104,0.0
60,7.356970548629761,-24.475579841121753,12.407498896806539,0.6189343037838884,-46.25996988662922,0.0,0.17108376854514473,0.01,0.003999471664428711,0.08551836013793945,0.005122897,0.0608066,-26.899869967910504,-0.107380953403967,-0.2449396802307957,0.0,2434,0.3473217487335205,0.13023475349793315,0.12359582309820502,152857,-16.45954703965339,0.0
61,5.8965466022491455,-23.933317677865553,11.218085372873258,0.6761141234203946,-42.61892798240122,0.0,0.16560626972688428,0.01,0.004997730255126953,0.09351944923400879,0.005150693,0.06156941,-26.60321473890601,-0.10461959841090733,-0.23950268631694457,0.0,2455,0.3515591621398926,0.14004094494961333,0.13086331581851524,155312,-16.160858575154652,0.0
62,5.88055944442749,-22.46378675140978,11.998513564246332,0.5688594274320604,-42.22883124553905,0.0,0.17081594377241954,0.01,0.0050013065338134766,0.08851385116577148,0.005103453,0.059956573,-26.189271940156388,-0.10189275321527713,-0.22485335319228078,0.0,2414,0.34589385986328125,0.15301031961621317,0.14486870056426004,157726,-15.817077263442773,0.0
63,5.762380838394165,-22.69365444709146,11.569291624948175,0.772524447008486,-42.63993279213989,0.0,0.16786322760131075,0.01,0.004509925842285156,0.09773015975952148,0.005054975,0.060927458,-25.839710190849896,-0.10194877008376249,-0.22714432165292003,0.0,2474,0.3532371520996094,0.1449295369469449,0.139271521928512,160200,-15.556236595309283,0.0
64,5.566380500793457,-21.91101357238569,12.028631801061888,0.7776583794886024,-43.017663581079205,0.0,0.16937987136753904,0.01,0.004001617431640625,0.09250926971435547,0.0051100445,0.06169351,-25.446840529003477,-0.10150032759140641,-0.21931959241682045,0.0,2372,0.3329579830169678,0.15218227458009184,0.14368236190309008,162572,-15.436866855903522,0.0
65,5.512564420700073,-21.297601187404638,12.517651685613838,0.6701319771957583,-45.37451836572891,0.0,0.1681036970093936,0.01,0.004999637603759766,0.08851456642150879,0.0051074973,0.061025113,-25.031916594843594,-0.09961415416185515,-0.2131805962386207,0.0,2381,0.33185696601867676,0.1567452875738811,0.14714365844821886,164953,-15.365555846793743,0.0
66,5.440351247787476,-21.133715295160187,12.535962149779992,0.7382033479813781,-42.048685727933105,0.0,0.163590642335792,0.01,0.004000663757324219,0.09151768684387207,0.005184835,0.06305487,-24.642096464875255,-0.0997637739607702,-0.21155898383058683,0.0,2369,0.339052677154541,0.17457393302588747,0.16413819124191323,167322,-15.344586815657323,0.0
67,5.387038946151733,-20.991197376231106,12.532936312366834,0.5498069348851993,-43.35866777068629,0.0,0.16931601189189363,0.01,0.0049991607666015625,0.08751583099365234,0.0050970647,0.060236674,-24.27700655601084,-0.0994863541436288,-0.210096350554341,0.0,2351,0.3275761604309082,0.15591955602789015,0.14384428933203636,169673,-15.41317687245962,0.0
68,5.434839248657227,-21.73237762625442,12.118845520853766,0.6994943021845875,-43.033487774949116,0.0,0.1765300544227915,0.01,0.004000425338745117,0.08914041519165039,0.0051269294,0.05882351,-24.022543663035197,-0.10033171805182158,-0.2175311679574512,0.0,2373,0.34023213386535645,0.14145188363749575,0.13294021587498897,172046,-15.377301761498302,0.0
69,5.5696375370025635,-21.666632443495537,12.195066116233619,0.7344356850637321,-40.58676853052271,0.0,0.1764925714610785,0.01,0.004999399185180664,0.09451508522033691,0.0050717937,0.05821419,-23.78695254108123,-0.09912216888007061,-0.21698122801301628,0.0,2436,0.3485565185546875,0.14197043163933204,0.13405888556243625,174482,-15.338517203722493,0.0
70,5.261199235916138,-19.47282753769254,12.801247862143278,0.6536181660301448,-42.26388766194706,0.0,0.17078092204005207,0.01,0.003998279571533203,0.08251738548278809,0.0050805956,0.060441166,-23.355540040742362,-0.09754223260070272,-0.19503803266868616,0.0,2281,0.3179183006286621,0.17571510776450064,0.15851100042180336,176763,-15.516379704908838,0.0
71,5.434597730636597,-19.484095946111374,12.432541840301338,0.6806047205623285,-44.26760682291399,0.0,0.17044488491102952,0.01,0.004003763198852539,0.08751893043518066,0.005104679,0.0602991,-22.968395631279265,-0.09639494919190264,-0.19512874606224762,0.0,2359,0.3292064666748047,0.16036776112072598,0.15154981396443806,179122,-15.481071685905443,0.0
72,5.357138395309448,-19.961824425676745,12.332255348304734,0.7486813817678246,-41.31686224799858,0.0,0.17189322296946533,0.01,0.00400090217590332,0.08251118659973145,0.0050727553,0.059580106,-22.667738510719015,-0.09748352022598543,-0.19982745041272362,0.0,2329,0.334597110748291,0.16941858409493796,0.15656683444280553,181451,-15.486847852948511,0.0
73,5.356439828872681,-19.948565949126028,12.413997399372285,0.7282172472456763,-39.07204691020879,0.0,0.17221014047729316,0.01,0.005000591278076172,0.09055852890014648,0.005146966,0.060411837,-22.395821254559717,-0.09691772563591057,-0.19977890500273032,0.0,2319,0.34004998207092285,0.14964252987324161,0.1410564894262232,183770,-15.646572853583203,0.0
74,5.209918260574341,-18.273384825843287,12.886557365541965,0.7799059991247067,-44.30425855228249,0.0,0.16239454768393577,0.01,0.004000186920166016,0.08951783180236816,0.0050983108,0.062798396,-21.983577611688073,-0.09413370083389336,-0.18303932610286822,0.0,2262,0.32854127883911133,0.1913587460288495,0.17424889023722548,186032,-15.66535624261528,0.0
75,5.322778701782227,-18.376861647012433,12.564960591285256,0.7677968594307922,-40.89520455325903,0.0,0.16771173855170904,0.01,0.003002166748046875,0.08600401878356934,0.005137119,0.060556464,-21.622906015220508,-0.09428272191730042,-0.18405895876841366,0.0,2307,0.3311612606048584,0.16184350069304568,0.15131986830370733,188339,-15.583057540660196,0.0
76,5.374111890792847,-18.952348425065793,12.640444044071838,0.710643782028149,-40.15879971988452,0.0,0.16252064306560668,0.01,0.003998756408691406,0.08951377868652344,0.0050947964,0.06182132,-21.355850256205038,-0.09465247810402963,-0.18973073629200704,0.0,2295,0.32346630096435547,0.17210276703816288,0.1595826964494096,190634,-14.850638982326284,0.0
77,5.3211681842803955,-18.434200309353095,12.676645763555873,0.6991152652835888,-44.18474308348249,0.0,0.16551797263482904,0.01,0.003999948501586914,0.09851479530334473,0.0050582336,0.06193196,-21.063685261519844,-0.09541843414907646,-0.18465148561418082,0.0,2281,0.3527710437774658,0.16963762325497414,0.1555249438171809,192915,-15.313847966829059,0.0
